pl_name,hostname,pl_letter,pl_bmasse,pl_bmassj,pl_rade,pl_orbper,st_met,st_teff,st_mass,st_rad,disc_year,discoverymethod
"NGTS-25 b","NGTS-25","b",203.09235207,0.63900000,11.46678726,2.82309300000,0.1200,5321.00,0.910000,0.860000,2022,"Transit"
"NGTS-26 b","NGTS-26","b",92.80589484,0.29200000,14.88552637,4.51992790000,0.2000,5550.00,0.960000,1.160000,2024,"Transit"
"NGTS-27 b","NGTS-27","b",188.47224535,0.59300000,15.64773706,3.37041810000,0.0000,5700.00,1.070000,1.770000,2024,"Transit"
"NGTS-3 A b","NGTS-3 A","b",756.43540000,2.38000000,16.58932000,1.67537280000,0.1200,5600.00,1.017000,0.930000,2018,"Transit"
"NGTS-30 b","NGTS-30","b",305.11527072,0.96000000,10.40193409,98.29838000000,-0.0300,5455.00,0.940000,0.913000,2024,"Transit"
"NGTS-31 b","NGTS-31","b",355.96781584,1.12000000,18.04645893,4.16273400000,0.0000,5710.00,0.960000,1.700000,2025,"Transit"
"NGTS-32 b","NGTS-32","b",181.16219199,0.57000000,15.91675259,3.31211000000,-0.0300,5680.00,1.070000,1.850000,2025,"Transit"
"NGTS-33 b","NGTS-33","b",1153.71711741,3.63000000,18.38272835,2.82797200000,-0.1100,7437.00,1.600000,1.470000,2024,"Transit"
"NGTS-34 b","NGTS-34","b",19.10000000,0.06009532,3.65000000,43.12655000000,0.2280,6134.00,1.266000,1.367000,2025,"Transit"
"NGTS-35 b","NGTS-35","b",152.00000000,0.47824548,10.90000000,25.24119200000,0.0850,4717.00,0.789000,0.753000,2025,"Transit"
"NGTS-38 b","NGTS-38","b",1516.04150139,4.77000000,12.11690814,180.52797000000,0.3300,6310.00,1.460000,1.880000,2026,"Transit"
"NGTS-39 b","NGTS-39","b",466.25427307,1.46700000,12.19537100,58.20472000000,0.1960,6053.00,1.160000,1.160000,2026,"Transit"
"NGTS-4 b","NGTS-4","b",20.60000000,0.06481452,3.18000000,1.33735080000,-0.2800,5143.00,0.750000,0.840000,2019,"Transit"
"NGTS-5 b","NGTS-5","b",72.78307000,0.22900000,12.73342400,3.35698660000,0.1200,4987.00,0.661000,0.739000,2019,"Transit"
"NGTS-6 b","NGTS-6","b",425.57437000,1.33900000,14.86313400,0.88205900000,0.1100,4730.00,0.767000,0.754000,2019,"Transit"
"NGTS-8 b","NGTS-8","b",295.58190000,0.93000000,12.21781000,2.49970000000,0.2400,5241.00,0.890000,0.980000,2019,"Transit"
"NGTS-9 b","NGTS-9","b",921.70700000,2.90000000,11.99363000,4.43527000000,0.3100,6330.00,1.340000,1.380000,2019,"Transit"
